Time Remaining,Down,Score Difference,Distance to First,Distance to Touchdown,Outcome,Previous Play Outcome,Play Type_field goal attempt,Play Type_kick attempt,Play Type_kneel,Play Type_pass,Play Type_punt,Play Type_rush left,Play Type_rush middle,Play Type_rush right,Best_field goal attempt,Best_kick attempt,Best_kneel,Best_pass,Best_punt,Best_rush left,Best_rush middle,Best_rush right
736,3,17,13,74,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
736,4,17,14,75,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
736,1,17,10,48,-3,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
736,2,17,13,51,6,-3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
736,3,17,7,45,0,6,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
736,1,17,10,30,31,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
736,1,17,9,9,3,31,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
736,2,17,6,6,4,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
3600,2,0,15,80,4,4,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3509,1,0,5,56,126,4,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3509,1,0,10,3,0,126,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3259,1,4,10,75,52,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3259,1,4,10,33,8,52,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
3259,2,4,10,33,24,8,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3259,1,4,10,19,3,24,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
3259,2,4,7,16,-2,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
3259,1,4,3,3,2,-2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
3259,2,4,1,1,0,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2991,3,4,2,2,62,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2991,1,4,10,3,0,62,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2991,1,11,10,76,6,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2991,2,11,4,70,15,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2991,1,11,10,65,20,15,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2991,1,11,10,55,4,20,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2991,2,11,6,51,0,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2991,3,11,5,50,17,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2700,1,11,10,43,-2,17,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2700,2,11,12,45,0,-2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2700,1,11,10,39,31,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2700,1,11,10,18,5,31,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2538,2,11,5,13,83,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2538,1,11,10,3,0,83,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2538,1,18,10,77,28,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2538,1,18,10,59,27,28,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2538,1,18,10,42,2,27,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2538,2,18,8,40,2,2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2538,3,18,6,38,0,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2538,4,18,7,39,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2538,1,18,7,7,6,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2538,2,18,1,1,0,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2118,3,18,1,1,60,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2118,1,18,10,3,0,60,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1921,1,25,15,87,8,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1921,2,25,7,79,75,8,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1921,1,25,10,14,0,75,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1921,2,25,11,15,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1921,3,25,11,15,-8,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1800,4,25,19,23,10,-8,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
